district_name_en,district_name_ar,city_name_en,city_name_ar,province_name_en,province_name_ar
Al Fayha Dist.,حي الفيحاء,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Mutamarat Dist.,حي المؤتمرات,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Wusayta Dist.,حي الوسيطاء,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Janadriyah Dist.,حي الجنادرية,Riyadh,الرياض,Riyadh,منطقة الرياض
Ishbiliyah Dist.,حي اشبيلية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Maizalah Dist.,حي المعيزلة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Yarmuk Dist.,حي اليرموك,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Munisiyah Dist.,حي المونسية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Khuzama Dist.,حي الخزامى,Riyadh,الرياض,Riyadh,منطقة الرياض
Irqah,عرقة,Riyadh,الرياض,Riyadh,منطقة الرياض
Dhahrat Laban Dist.,حي ظهرة لبن,Riyadh,الرياض,Riyadh,منطقة الرياض
Hiteen Dist.,حي حطين,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Malqa Dist.,حي الملقا,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Qairawan Dist.,حي القيروان,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Yasmeen Dist.,حي الياسمين,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Arid Dist.,حي العارض,Riyadh,الرياض,Riyadh,منطقة الرياض
King Khalid International Airport,مطار الملك خالد,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Narjis Dist.,حي النرجس,Riyadh,الرياض,Riyadh,منطقة الرياض
Imam Muhammed Bin Saud Islamic University,جامعة الامام محمد بن سعود الاسلامية,Riyadh,الرياض,Riyadh,منطقة الرياض
Banban Dist.,حي بنبان,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Rimal Dist.,حي الرمال,Riyadh,الرياض,Riyadh,منطقة الرياض
Ghirnatah Dist.,حي غرناطة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Dahou Dist.,حي الدحو,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Ammajiyah Dist.,حي العماجية,Riyadh,الرياض,Riyadh,منطقة الرياض
Hyt Dist.,حي هيت,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Haer Dist.,حي الحائر,Riyadh,الرياض,Riyadh,منطقة الرياض
Umm Al Shaal Dist.,حي ام الشعال,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Ghannamiyah Dist.,حي الغنامية,Riyadh,الرياض,Riyadh,منطقة الرياض
Oraid Dist.,حي عريض,Riyadh,الرياض,Riyadh,منطقة الرياض
Badr Dist.,حي بدر,Riyadh,الرياض,Riyadh,منطقة الرياض
